Place,Parent,MapSheet,UF,BT
King River,West Arnhem Land NT ,D5301,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Murgenella,West Arnhem Land NT,C5313,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13)
Alligator River map area,Arnhem Land NT,D5301,,Arnhem Land (NT)
Birraduk,West Arnhem Land NT,D5301,,Alligator River map area (Arnhem Land NT SD53-01)
Cahills Crossing,West Arnhem Land NT,D5301,,Alligator River map area (Arnhem Land NT SD53-01)
Gunbalanya / Oenpelli,West Arnhem Land NT,D5301,Oenpelli;Kunbarlanja,Alligator River map area (Arnhem Land NT SD53-01)
Inagurdurwil / Red Lily Lagoon,West Arnhem Land NT,D5301,Red Lily Lagoon;Wulk Lagoon,Alligator River map area (Arnhem Land NT SD53-01)
Injalak / Unbalanja,West Arnhem Land NT,D5301,Unbalanja,Alligator River map area (Arnhem Land NT SD53-01)
Jimeri / Tyimede,West Arnhem Land NT,D5301,Tyimede,Alligator River map area (Arnhem Land NT SD53-01)
Kudjumarndi / Tin Camp Creek,West Arnhem Land NT,D5301,Tin Camp Creek,Alligator River map area (Arnhem Land NT SD53-01)
Mikginj / Mikinj,West Arnhem Land NT,D5301,Mikinj;Mikginj Valley,Alligator River map area (Arnhem Land NT SD53-01)
Myra Falls,West Arnhem Land NT,D5301,,Alligator River map area (Arnhem Land NT SD53-01)
Nimbuwa,West Arnhem Land NT,D5301,,Alligator River map area (Arnhem Land NT SD53-01)
Spring Peak,West Arnhem Land NT,D5301,,Alligator River map area (Arnhem Land NT SD53-01)
Milingimbi / Junction Bay map area,Central Arnhem Land NT ,D5302,,Arnhem Land (NT)
Anadjambilpa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Anagrurka,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Angerka-abaradjinga,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Anggurwuripia,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Anutgadjera,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Arafura Wetlands / Swamp,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Balpildja,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Banalka,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Barni,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Barridjowgeng,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Birriba,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Blyth River,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Borlkdjam,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Botgardi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Bulgai,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Bulmula,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Buluhkaduru,Central Arnhem Land,D5302,Bulugardaru,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Bunbua,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Buthya Island,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Cadell River,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Cuthbertson Falls,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Dabila,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Dai-Ay-Iripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Dedi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Dilebang,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Dipirringur,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djakaldjirrparr,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djaklawirrka,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djalknur / Dog Mountain,Central Arnhem Land,D5302,Dog Mountain,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djamalna,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djapididjapman,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djunaka,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Djunawunya,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Duperdjadak,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gabilingun,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gadji / Gatji,Central Arnhem Land,D5302,Gatji,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Galadjapin,Central Arnhem Land,D5302,Galawdjapin,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gamedi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gatandjinyera,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gilirri,Central Arnhem Land,D5302,Gilerri / Gilirri,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Glyde River,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Goomadeer / Gumadir River,Central Arnhem Land,D5302,Gumadir River,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gorrong Gorrong,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Godjandjinjirra,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gubalapala,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gubumi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gudjangal,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gudjerama Creek,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gudjitmi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gugodbabuldi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gukapangga,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gunadjangga,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gunbatgarri,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gunorbu,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gupulul / Gopulul,Central Arnhem Land,D5302,Gopulul,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Gurror,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Guyun,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Havelock Falls,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Ibitbillama,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Imayirut,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Inangandua,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Jibalbal / Djibolbol,Central Arnhem Land,D5302,Djibolbol,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Jimarda / Djimarda,Central Arnhem Land,D5302,Djimarda,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Kopanga / Kupanga,Central Arnhem Land,D5302,Kupanga;Gubanga;Gobanga,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Kunmarrirnban,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Lalargadjiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Langarra,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Liverpool River,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Madangadjira,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Maganara,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Maganbal,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Malmiladjera,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Manakudok-adjiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Manbulgardi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mandapulpul,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mandjambilamira,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mangalgadjurmi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mangalod,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Manganama,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mangodbehgayo,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Maningrida,Central Arnhem Land NT,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Manmoyi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mann River,Central Arnhem Land ,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mann River,Central Arnhem Land ,D5305,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mann River,Central Arnhem Land ,D5306,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Marrkolidban,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Meliba,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Miadjiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Midjuwi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Milerrirepi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mimadawen,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mimanyar,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Milingimbi,Central Arnhem Land NT,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Miwalaber,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Moganara,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Moiya-djiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Molgorrum / Mulgurum,Central Arnhem Land,D5302,Mulgurum,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Momega / Mumeka,Central Arnhem Land,D5302,Mumeka,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mongol,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mowemba,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Mulula,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Murwangi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Nalidjibama,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Namilewohwo / Namiliwohoh,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Namokardabu,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Nangalala,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Nangark,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Nakorro,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Naparlaginindawapa / Rocky Point,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Ngalaberrberr,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Ngaliyindi,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Ngulmarkmiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Ramingining,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Rarrtji,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Tomkinson River,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Waidpakadjiripa,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Waiyal,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Wududkukyoy,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Wulkabimirri,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Wurdeja,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Yathalamarra,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Yilan,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Yindua,Central Arnhem Land,D5302,,"Milingimbi / Junction Bay map areas (Central Arnhem Land NT SD53-02, SC53-14)"
Arnhem Bay map area,East Arnhem Land NT,D5303,,Arnhem Land (NT)
Arnhem Bay,East Arnhem Land NT,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Biranybirany,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Castlereagh Bay,East Arnhem Land NT,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Dhalinybuy,East Arnhem Land NT,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Gapuwiyak / Lake Evella,East Arnhem Land,D5303,"Lake Evella;Evella, Lake",Arnhem Bay map area (East Arnhem Land NT SD53-03)
Gikal,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Gurkawuy,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Matamata,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Mirrngadja,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Malgawo,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
Rorru / Rurru,East Arnhem Land,D5303,Rurru,Arnhem Bay map area (East Arnhem Land SD53-03)
Wandawuy,East Arnhem Land,D5303,,Arnhem Bay map area (East Arnhem Land NT SD53-03)
