000,001,008,035$a,040$a,040$b,040$c,040$e,191$a,491$a,591$w,591$a,670$a
00271cz  a2200109   4500,XX86,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX86,AIAS,eng,AIAS,,"Torres Strait Islands (Qld TSI SC54-12, SC55-05)",,g,Queensland (Qld),
00273cz  a2200109   4500,XX87,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX87,AIAS,,,,Boigu map area (Qld TSI SC54-07),,g,"Torres Strait Islands (Qld TSI SC54, SC55-05)",
00380cz  a2200133   4500,XX88,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX88,AIAS,,,,Boigu / Talbot Island (Qld TSI SC54-07),Talbot Island (Qld TSI SC54-07),g;g,"Boigu map area (Qld TSI SC54-07);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00431cz  a2200145   4500,XX89,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX89,AIAS,,,,Mabuiag / Jervis Island (Qld TSI SC54-07),Jervis Island (Qld TSI SC54-07);Mabuyag Island (Qld TSI SC54-07),g;g,"Boigu map area (Qld TSI SC54-07);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00256cz  a2200109   4500,XX90,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX90,AIAS,,,,Pulu Islet (Qld TSI SC54-07),,g,Boigu map area (Qld TSI SC54-07),
00272cz  a2200109   4500,XX91,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX91,AIAS,,,,Daru map area (Qld TSI SC54-08),,g,"Torres Strait Islands (Qld TSI SC54, SC55-05)",
00387cz  a2200133   4500,XX92,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX92,AIAS,,,,Dauan / Cornwallis Island (Qld TSI SC54-08),Cornwallis Island (Qld TSI SC54-08),g;g,"Torres Strait Islands (Qld TSI SC54, SC55-05);Daru map area (Qld TSI SC54-08)",
00377cz  a2200133   4500,XX93,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX93,AIAS,,,,Edgor / Nepean Islet (Qld TSI SC54-08),Nepean Islet (Qld TSI SC54-08),g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00315cz  a2200121   4500,XX94,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX94,AIAS,,,,Erub / Darnley Island (Qld TSI SC54-08),Darnley Island (Qld TSI SC54-08),g,Daru map area (Qld TSI SC54-08),
00314cz  a2200121   4500,XX95,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX95,AIAS,,,,Gebar / Gabba Island (Qld TSI S C54-08),Gabba Island (Qld TSI S C54-08),g,Daru map area (Qld TSI SC54-08),
00381cz  a2200133   4500,XX96,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX96,AIAS,,,,Damuth / Jamud Island / Dalrymple Islet (Qld TSI SC54-08),Dalrymple Islet (Qld TSI SC54-08);Damut Island (Qld TSI SC54-08),g,Daru map area (Qld TSI SC54-08),
00314cz  a2200121   4500,XX97,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX97,AIAS,,,,Mauar / Rennel Island (Qld TSI SC54-08),Rennel Island (Qld TSI SC54-08),g,Daru map area (Qld TSI SC54-08),
00427cz  a2200145   4500,XX98,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX98,AIAS,,,,Masig / Yorke Island (Qld TSI SC54-08),Yorke Island (Qld TSI S C54-08);Massid Island (Qld TSI S C54-08),g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00371cz  a2200133   4500,XX99,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX99,AIAS,,,,Mukwa / Mukar Island / Cap Islet (Qld TSI S C54-08),Mukar Island (Qld TSI S C54-08);Cap Islet (Qld TSI S C54-08),g,Daru map area (Qld TSI SC54-08),
00325cz  a2200121   4500,XX100,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX100,AIAS,,,,Saibai Island (Qld TSI SC54-08),,g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00387cz  a2200133   4500,XX101,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX101,AIAS,,,,Tudu Island / Warrior Islet (Qld TSI SC54-08),Warrior Islet (Qld TSI SC54-08),g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00384cz  a2200133   4500,XX102,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX102,AIAS,,,,Ugar / Stephens Island (Qld TSI SC54-08),Stephens Island (Qld TSI SC54-08),g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00260cz  a2200109   4500,XX103,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX103,AIAS,,,,Warrior Reefs (Qld TSI SC54-08),,g,Daru map area (Qld TSI SC54-08),
00393cz  a2200133   4500,XX104,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX104,AIAS,,,,Yam / Turtle-backed Island (Qld TSI SC54-08),Turtle-backed Island (Qld TSI SC54-08),g;g,"Daru map area (Qld TSI SC54-08);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00369cz  a2200133   4500,XX105,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX105,AIAS,,,,Zegey / Dungeness Island (Qld TSI SC54-08),Dungeness Island (Qld TSI SC54-08);Giaka Island (Qld TSI SC54-08),g,Daru map area (Qld TSI SC54-08),
00274cz  a2200109   4500,XX106,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX106,AIAS,,,,Maer map area (Qld TSI SC55-05),,g,"Torres Strait Islands (Qld TSI SC54, SC55-05)",
00379cz  a2200133   4500,XX107,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX107,AIAS,,,,Dauar / Dowar Island (Qld TSI SC55-05),Dowar Island (Qld TSI SC55-05),g;g,"Maer map area (Qld TSI SC55-05);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00380cz  a2200133   4500,XX108,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX108,AIAS,,,,Mer / Murray Island (Qld TSI SC55-05),Murray Island (Qld TSI SC55-05),g;g,"Maer map area (Qld TSI SC55-05);Torres Strait  Islands (Qld TSI SC54, SC55-05)",
00324cz  a2200121   4500,XX109,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX109,AIAS,,,,Waier Island (Qld TSI SC55-05),,g;g,"Maer map area (Qld TSI SC55-05);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00285cz  a2200109   4500,XX110,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX110,AIAS,,,,Thursday Island map area (Qld TSI SC54-11),,g,"Torres Strait Islands (Qld TSI SC54, SC55-05)",
00395cz  a2200133   4500,XX111,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX111,AIAS,,,,Badu / Mulgrave Island (Qld TSI SC54-11),Mulgrave Island (Qld TSI SC54-11),g;g,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00388cz  a2200133   4500,XX112,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX112,AIAS,eng,AIAS,,Gialug / Friday Island (Qld TSI SC54-11),Friday Island (Qld TSI SC54-11);Giralag Island (Qld TSI SC54-11),g,Thursday Island map area (Qld TSI SC54-11),
00413cz  a2200145   4500,XX113,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX113,AIAS,,,,Keriri / Hammond Island (Qld TSI SC54-11),Hammond Island (Qld TSI SC54-11);Kirriri (Qld TSI SC54-11);Kiriri (Qld TSI SC54-11),g,Thursday Island map area (Qld TSI SC54-11),
00433cz  a2200145   4500,XX114,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX114,AIAS,,,,Moa / Banks Island (Qld TSI SC54-11),Banks Island (Qld TSI SC54-11);Mua Island (Qld TSI SC54-11),g;g,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00327cz  a2200121   4500,XX115,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX115,AIAS,,,,Kubin (Moa / Banks Island Qld TSI SC54-11),Kubin (Mua Island Qld TSI SC54-11),g,Moa / Banks Island (Qld TSI SC54-11),
00271cz  a2200109   4500,XX116,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX116,AIAS,,,,St Pauls (Moa Island Qld TSI SC54-12),,g,Moa / Banks Island (Qld TSI SC54-11),
00568cz  a2200157   4500,XX117,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX117,AIAS,,,,Muralag / Prince of Wales Island (Qld TSI SC54-11),Prince of Wales Island (Qld TSI SC54-11);Muralug (Qld TSI SC54-11),g;g,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)",Reports of the Cambridge Anthropological Expedition to Torres Straits volume 5 1904 spelt Muralug
00433cz  a2200145   4500,XX118,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX118,AIAS,,,,Narupai / Horn Island (Qld TSI SC54-11),Horn Island (Qld TSI SC54-11);Ngurupai (Qld TSI SC54-11),g;g,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00340cz  a2200121   4500,XX119,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX119,AIAS,,,,North Possession Island (Qld TSI SC54-11),"Possession Island, North (Qld TSI SC54-11)",g,Thursday Island map area (Qld TSI SC54-11),
00275cz  a2200109   4500,XX120,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX120,AIAS,,,,Possession Island (Qld TSI SC54-11),,g,Thursday Island map area (Qld TSI SC54-11),
00397cz  a2200133   4500,XX121,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX121,AIAS,,,,Waiben / Thursday Island (Qld TSI SC54-11),Thursday Island (Qld TSI SC54-11),g;g,"Thursday Island map area (Qld TSI SC54-11);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00279cz  a2200109   4500,XX122,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX122,AIAS,,,,Cape York map area (Qld TSI SC54-12),,g,"Torres Strait Islands (Qld TSI SC54, SC55-05)",
00389cz  a2200133   4500,XX123,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX123,AIAS,,,,Bara / Burrar Islet / Bet Island (Qld TSI SC54-12),Burrar Islet / Bet Island (Qld TSI SC54-12);Bet Island (Qld TSI SC54-12),g,Cape York map area (Qld TSI SC54-12),
00386cz  a2200133   4500,XX124,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX124,AIAS,,,,Ngiangu / Booby Island (Qld TSI SC54-12),Booby Island (Qld TSI SC54-12),g;g,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00318cz  a2200121   4500,XX125,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX125,AIAS,,,,Guijar / Guiya Islet (Qld TSI SC54-12),Guiya Islet (Qld TSI SC54-12),g,Cape York map area (Qld TSI SC54-12),
00521cz  a2200169   4500,XX126,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX126,AIAS,,,,Nahgi / Mount Ernest Island (Qld TSI SC54-12),Mount Ernest Island (Qld TSI SC54-12);Nagheer (Qld TSI SC54-12);Nagir (Qld TSI SC54-12);Naghir (Qld TSI SC54-12),g;g,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00446cz  a2200145   4500,XX127,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX127,AIAS,,,,Poruma / Purma / Coconut Island (Qld TSI SC54-12),Coconut Island (Qld TSI SC54-12);Paremar Island (Qld TSI SC54-12),g;g,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00437cz  a2200145   4500,XX128,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX128,AIAS,,,,Waraber Island / Sue Islet (Qld TSI SC54-12),Warraber Island (Qld TSI SC54-12);Sue Islet (Qld TSI SC54-12),g;g,"Cape York map area (Qld TSI SC54-12);Torres Strait Islands (Qld TSI SC54, SC55-05)",
00255cz  a2200109   4500,XX129,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX129,AIAS,,,,"Tiwi Islands (NT SC52-15, SC52-16)",,g,Northern Territory (NT),
00260cz  a2200109   4500,XX130,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX130,AIAS,,,,Bathurst Island (NT SC52-15),,g,"Tiwi Islands (NT SC52-15, SC52-16)",
00326cz  a2200121   4500,XX131,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX131,AIAS,,,,Wurrumiyanga / Nguiu (Bathurst Island NT SC52-16),Nguiu (Bathurst Island NT SC52-16),g,Bathurst Island (NT SC52-15),
00263cz  a2200109   4500,XX132,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX132,AIAS,,,,Tipalari (Bathurst Island NT SC52-16),,g,Bathurst Island (NT SC52-15),
00317cz  a2200121   4500,XX133,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX133,AIAS,,,,Yermalner / Melville Island (NT SC52-16),Melville Island (NT SC52-16),g,"Tiwi Islands (NT SC52-15, SC52-16)",
00354cz  a2200121   4500,XX134,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX134,AIAS,,,,Karslake / Carslake Island (Melville Island NT SC52-16),Carslake Island (Melville Island NT SC52-16),g,Melville Island / Yermalner (NT SC52-16),
00278cz  a2200109   4500,XX135,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX135,AIAS,,,,Fort Dundas (Melville Island NT SC52-16),,g,Melville Island / Yermalner (NT SC52-16),
00344cz  a2200121   4500,XX136,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX136,AIAS,,,,Milikapiti / Snake Bay (Melville Island NT SC52-16),Snake Bay (Melville Island NT SC52-16),g,Melville Island / Yermalner (NT SC52-16),
00281cz  a2200109   4500,XX137,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX137,AIAS,,,,Pickertaramoor (Melville Island NT SC52-16),,g,Melville Island / Yermalner (NT SC52-16),
00406cz  a2200133   4500,XX138,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX138,AIAS,,,,Pulurumpi / Garden Point (Melville Island NT SC52-15),Garden Point (Melville Island NT SC52-15);Pirlangimpi (Melville Island NT SC52-15),g,Yermalner / Melville Island (NT SC52-16),
00237cz  a2200109   4500,XX139,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX139,AIAS,,,,Arnhem Land (NT),,g,Northern Territory (NT),
00249cz  a2200109   4500,XX140,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX140,AIAS,,,,"Arnhem Land islands (NT SC53, SD53)",,g,Arnhem Land (NT),
00265cz  a2200109   4500,XX141,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX141,AIAS,,,,Banyan Island (East Arnhem Land NT SD53-03),,g,Arnhem Land islands (NT),
00262cz  a2200109   4500,XX142,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX142,AIAS,,,,Bremer Island (East Arnhem Land SD53-04),,g,Arnhem Land islands (NT),
00278cz  a2200109   4500,XX143,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX143,AIAS,,,,"Crocodile Islands (Central Arnhem Land SD53-02, SC53-14)",,g,Arnhem Land islands (NT),
00297cz  a2200109   4500,XX145,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX145,AIAS,,,,Rabuma Island (Central Arnhem Land SD53-02),,g,"Crocodile Islands (Central Arnhem Land SD53-02, SC53-14)",
00265cz  a2200109   4500,XX146,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX146,AIAS,,,,Croker Island (West Arnhem Land NT SC53-13),,g,Arnhem Land islands (NT),
00294cz  a2200109   4500,XX147,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX147,AIAS,,,,Minjilang (Croker Island West Arnhem Land NT SC53-13),,g,Croker Island (West Arnhem Land NT SC53-13),
00265cz  a2200109   4500,XX148,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX148,AIAS,,,,Dulmana Islet (East Arnhem Land NT SD53-03),,g,Arnhem Land islands (NT),
00273cz  a2200109   4500,XX149,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX149,AIAS,,,,"Elcho Island (East Arnhem Land NT SC53-15, SD53-03)",,g,Arnhem Land islands (NT),
00301cz  a2200109   4500,XX150,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX150,AIAS,,,,Galiwinku (Elcho Island East Arnhem Land NT SD53-03),,g,"Elcho Island (East Arnhem Land NT SC53-15, SD53-03)",
00276cz  a2200109   4500,XX151,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX151,AIAS,,,,English Companys Islands (East Arnhem Land NT SC53-15),,g,Arnhem Land islands (NT),
00268cz  a2200109   4500,XX152,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX152,AIAS,,,,Goulburn Islands (West Arnhem Land NT SC53-13),,g,Arnhem Land islands (NT),
00303cz  a2200109   4500,XX153,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX153,AIAS,,,,Warruwi (South Goulburn Island West Arnhem Land NT SC53-13),,g,Goulburn Islands (West Arnhem Land NT SC53-13),
00265cz  a2200109   4500,XX154,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX154,AIAS,,,,Howard Island (East Arnhem Land NT SD53-03),,g,Arnhem Land islands (NT),
00266cz  a2200109   4500,XX155,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX155,AIAS,,,,Wessel Islands (East Arnhem Land NT SC53-15),,g,Arnhem Land islands (NT),
00286cz  a2200109   4500,XX156,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX156,AIAS,,,,Woodah Isle (NT Gulf Islands SD53-07),,g,Blue Mud Bay map area (East Arnhem Land NT SD53-07),
00270cz  a2200109   4500,XX157,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX157,AIAS,,,,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),,g,Arnhem Land (NT),
00389cz  a2200121   4500,XX158,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX158,AIAS,,,,Cobourg Peninsula / Gurig National Park (West Arnhem Land NT SC53-13),Gurig National Park (West Arnhem Land NT SC53-13),g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00348cz  a2200121   4500,XX159,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX159,AIAS,,,,Cape Don (West Arnhem Land NT SC52-16),"Don, Cape (West Arnhem Land NT SC52-16)",g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00360cz  a2200121   4500,XX160,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX160,AIAS,,,,Port Essington (West Arnhem Land NT SC53-13),"Essington, Port (West Arnhem Land NT SC53-13)",g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00438cz  a2200133   4500,XX161,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX161,AIAS,,,,Raffles Bay / Fort Wellington (West Arnhem Land NT SC53-13),"Fort Wellington (West Arnhem Land NT SC53-13);Wellington, Fort (West Arnhem Land NT SC53-13)",g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00303cz  a2200109   4500,XX162,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX162,AIAS,,,,"King River (West Arnhem Land NT SC53-13, SD53-01)",,g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00294cz  a2200109   4500,XX163,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX163,AIAS,,,,Murgenella (West Arnhem Land NT SC53-13),,g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00263cz  a2200109   4500,XX164,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX164,AIAS,,,,Alligator River map area (Arnhem Land NT SD53-01),,g,Arnhem Land (NT),
00285cz  a2200109   4500,XX165,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX165,AIAS,,,,Birraduk (West Arnhem Land NT SD53-01),,g,Alligator River map area (Arnhem Land NT SD53-01),
00293cz  a2200109   4500,XX166,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX166,AIAS,,,,Cahills Crossing (West Arnhem Land NT SD53-01),,g,Alligator River map area (Arnhem Land NT SD53-01),
00411cz  a2200133   4500,XX167,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX167,AIAS,,,,Gunbalanya / Oenpelli (West Arnhem Land NT SD53-01),Oenpelli (West Arnhem Land NT SD53-01);Kunbarlanja (West Arnhem Land NT SD53-01),g,Alligator River map area (Arnhem Land NT SD53-01),
00427cz  a2200133   4500,XX168,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX168,AIAS,,,,Inagurdurwil / Red Lily Lagoon (West Arnhem Land NT SD53-01),Red Lily Lagoon (West Arnhem Land NT SD53-01);Wulk Lagoon (West Arnhem Land NT SD53-01),g,Alligator River map area (Arnhem Land NT SD53-01),
00352cz  a2200121   4500,XX169,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX169,AIAS,,,,Injalak / Unbalanja (West Arnhem Land NT SD53-01),Unbalanja (West Arnhem Land NT SD53-01),g,Alligator River map area (Arnhem Land NT SD53-01),
